Text,Sentiment
Europe Ch Sirf  Rice Pakistan Thailand De E A Rahe A,negative
Europen log pehla v aapnhe tarike nasl mota choul he khande ne jo europ ch hunde ne bakki jo punjabi ne o indian stora to basmati de choul he lainde ne,negative
Kehrhe faltu vehle bande jinna tuhanu samajdaar smj k bithaeya sab to vadda murakh a mintu lagda ainu putchho kinne layi pabandi a addi pakistani bolda amb di a gl krda ainu putcho mangue ki hunda jo lidl ch behad milda,negative
Yr kiun faltu di glt imformation de reha jo europ vich possible he nhi,negative
Neck blast lae bartiaa janda trycyclazol es da koi bdl aje tk nhi aaieaa in india,negative
Yes this happening in market I m from biggest basmati market Taraori  basmati rates coming down,negative
Sir ji jine sohne amb the amrud Europe vich milde ne one vadya te India vich v nahi milde je tusi kaho te picture js video bna ke send karie,negative
pakistan ch hadd ton vadh kudarti kheti kiti jandi va,negative
ise lai pakistan di fasal vich kise v kisam di kami nahi hundi,negative
kudarti kheti to bhav sab ton vadh nehri pani di varto hai kio k us pani vich kudarti ghah foos gal sar k bani  khaad mojood hundi hai  jis nal kise v fasal nu 99 koi bimari nahi lagdi,negative
sade istemal kita jaan vala tubwell da pani khaad pdartha tobn rehat hai,negative
Veere sabto badda utpadak china second india,negative
Kudrati kheti es da wdia hl ha,negative
Be Natural grow natural and eat natural,positive
Western govts are very clever they introduce pesticide to us and now banning our products We had  believed in organic farming,positive
1121 ta nhi aunda ede ch oh ta viku ga hee,negative
Fudu bna rahe 1410 basmati nahi hundi Pakistan basmati nahi vech sakda India ne basmati name copyright kita hoya hai  basmati name te America v nahi vech sakda,negative
1410 nahi baji 1401 hai bai ji,negative
Bai pakistan waleya nu puch lo ki nuska use Karde a oh,negative
Rice na lon koi sabji lon  Pani tan agge thle jai janda thika hun ghat rice longe,negative
Pusa 1410 tan baasmati di kism hi nhi,negative
khatti lassi de spray kria kro,negative
Koi hal hona chahida g,negative
Organik kheti karo  oh sapreh ban karo  waste d compose  use karo,negative
Sara masla eh a veer ki apniya kutiya sarkara de eh pange a sare Sarkaara de agent Jo sample chola de Bahar bhejde a oh chol mix kar dinde a Ghotala Sarkaara kardiya Hun bhugtange kisaan,negative
save europian from Indian poisen,negative
Saleo Shortly Das Dao  Kisan Sparay Krde A  Europe de Lok kehnde Ansi india De chol khala ke apne lok nai marne,negative
Europe Ch Sirf  Rice Pakistan Thailand De E A Rahe A,negative
Europen log pehla v aapnhe tarike nasl mota choul he khande ne jo europ ch hunde ne bakki jo punjabi ne o indian stora to basmati de choul he lainde ne,negative
Kehrhe faltu vehle bande jinna tuhanu samajdaar smj k bithaeya sab to vadda murakh a mintu lagda ainu putchho kinne layi pabandi a addi pakistani bolda amb di a gl krda ainu putcho mangue ki hunda jo lidl ch behad milda,negative
Yr kiun faltu di glt imformation de reha jo europ vich possible he nhi,negative
Neck blast lae bartiaa janda trycyclazol es da koi bdl aje tk nhi aaieaa in india,negative
Bai G eh Kine horse power aa,positive
Lights peterbilt dian laiyan lgdia,positive
Vr eh sade pind ready hoya,negative
Bau ji eh kedi chalde di video hai,negative
kina khrcha lga kine da lya c,negative
Cabin b hona chahiye tha,negative
bai eh sale krna k nhi j krna ta price dseyo plz,negative
paji numbr send kar ji tractor wala aa da,negative
22 g sirraa aa sirraaaa,negative
big fans tractors tohan tavia Pawan jandiali,positive
Shope ta das yr jetha modifide keta a,negative
Veera keena k pase lag janda a,negative
veere kine  rsda hona a hun Ki mul  hai isda at time,negative
Zetor tyar kita aghe zetor likhya hmt da,negative
22video ta ruk ke bna laini hee jaldi kio kiti aa,negative
bai m Ford tyar krana h kithe bdia modified tha dsi veero,negative
boht hi buraaa lag reha front ton 12 4 28 de tyre naaal,negative
Mere pind Charik ton banea a Tracktar,negative
Jahaj wali ke gal ede vich ud Da  Va,negative
Ehdy nalon tan nwa belarus lai lainda,negative
Chla k tan jor kinna k aa  Jahaj nu kehde khamb lagge aa,negative
Kiya baat hai g osm,negative
leyland da engine hai te pishla hisa Sonalika da hai koi vadi gal nipaise lao te jo mrji karo,negative
Rear tyers 18 10 30 de aa,negative
isit suitable for 5mb plough,negative
Aah tractor sirhind to aayea y,negative
E tnn sidhwan bet ton a,negative
Veer rear tyre size kinna hai ji,negative
bhai apna number dana mara pass,negative
bhi bellaruss ha Mara ko bhi kam Karina ha,negative
Vr kini horse power aa edi,positive
Zeter price kenea lagu gea g mea karonea,negative
My car 8 cylinder engine,positive
saahdea Kaithal beach 2 NEA 6 cllinder vallea g,negative
kya price h is tractor ka,negative
tyre size ki isde or hp kini a or 44 ja 42,negative
agle tyre 12 428 de ne,negative
Veer ji ede bare explain kro full engine gear and hisse bare kinne hp engine haii kinni fuel consumption hai time de according sb kujh,negative
Hi Bai ji who modified this tractor can u tell me plz,negative
CAN YOU GIVE ME CONTACT NUMBER OR  VILLAGE NAME OF SURINDER SING,negative
Allah or traki kary bro,negative
Please tranlate in hindi sir,negative
veer ji tuada numbar de deyo,negative
Bro u r really settings an example for all youngsters who are working in all vertical of life  one should have dedication and commitment to learn,positive
Rab mehar kre aap te,negative
I am very impressed while watching your video sitting here in USA It is very innovative video to all the youngsters especially for jatt jimidar families and their kids to open up their own business related to the work have done their parents in past  I request  to this gentleman to  do some seminars around the other villages and motivate the others,positive
Ur hard worked and too much experienced person Ur would be successful businessman in future,negative
Good job brother keep it up,positive
Sir ji young dairy farmar daa phone number deo ji,negative
Bhai jimai to fan ho gya aapki batai sun k aap ki mehnat aapki knowledge aapki soch ko daik kai  Very Inspirational for today youth I want t meet u  learn from you  Aapnai jo desi ellaz k tarikai btayai h vo jabardast haiaapka josh or confidence jabardast hThanks to you  Unnat Kissan Unnat Krishi team for sharing such nice  knowledgeable video,positive
Wah O Veere Chas Lya Di Teri Mehnat Ne Dua Aay Allah Teri Mehnat Vich Barkat Pay Te Tawade Janwara nu Tandrusti Dawe,negative
air app apna WhatsApp number send kar do,negative
welldone  veer mera vi bada mun karda hun india aun nu  hamesha layi,negative
Zabardast veer ji bohat vadya mane Pakistan punjob se ho,negative
Very nice brother i m in spain,positive
Boht achy baaten batai aap neThanks,negative
Weldone bai Saab bot wadya ty malomat pryaan galan ketyan tusimain ik Pakistani wan ty twadi mehnat ty kamyabi non salam,negative
Paag kehre pind wa tuhada farm,negative
Itlay canada usa vich rehn naal bnday nu gal krun da tariqa a janda a well done,positive
Good Job Keep it up brother,positive
Pakistan vich tey zamendar da satyanas ho giya khalis dodh tey namumkim ho giya,negative
Yaar Mase da ilaj h ve,negative
veere  apna  nambar  das  ver,neutral
Bhutttttt vdeakeep it up brorubb tnu trakki dewebhut vdea,negative
Very good veer g Ali from pakistan,positive
Ac nh kehnde lahori pakha kehnde ne,negative
Sir aap number send kar do,negative
Bohot vadiya  Bravo  complimenti MrSingh,positive
Jina paisa veero bahar jaan te lane aa Je kite kam sikh ke apne desh hi invest kar diye Sanu jarurat nai bahar Jaan di,negative
veero i am from pakistan manu ay surindar bai da  contact chahida facebook id whatsaap num any thing,negative
yar mujy surindr singh bhai ka contact chahiya,positive
Bhai agr hindi m sari baat ho to zyada better h sbko smjh ayega bhout sare punjabi words smjh nhi aate,negative
Surinder g Maza agaya I m from Pakistan love your interview,positive
Sir ye koon se peda ki baat kar rhe h peda ka pura detel bataiye sir plz,negative
Bara sawad aya mundy dia gallan sunn ke,negative
We need youth like this guy Follow this guy instead of following singers,negative
god bless u bro very nice bahut acchi baatein batai aapne farmars ke liye,positive
Att banda nale sacha dil da,negative
i want to know about pedda,positive
Any content number of the owner,negative
Sir je id sher karo farom pakistan,positive
hor jankari daso veer ji,negative
Ashok g Surinder Bhai g da mob no de do,negative
sir dairy wale bro da number ki wa plz send krdo 9803372223 te,negative
9501520546 ah mera whatsapp no ah te tusi plz is te manu no send krdo plzzzzz,negative
sir surinder singh of matinda khurd da contact no chahida,negative
Very motivational video sir I am also working in gulf country and planning to move my India,positive
Sir aap ke koi or video nahi aaye h kya aae h to link bjna sir 9812085682,negative
bro love from Pakistan  Pa jee Bhot khob pardees chorh k dess wich kam wah jee wah ab pochna e hey k agar thun band ho te ki tarwqa hey  kholnay da meri gaa da ek thun band hey,negative
ashi kive bange y dahki y joora,negative
veer ji pade kitha milda,negative
veer ji soda no dasdo,negative
Ver ji  peda wala da nu dea ji,negative
Hello surinder  paji  da nambar  sand  ji,positive
Ashok g mujeh Surinder Singh ka mobile no send kro i am interested to start dairy farming Pb,negative
by g tere honsle nu salam,negative
Bai surinder g apna no send kereo please es no te 9464877646,negative
bro apna phone number send kro g,negative
Jalandhar me bhatinda khurd kaha hai,positive
Sir ji please send phon nomber of  surendar ji jalandhar bhatindakhurd,negative
Sir g ya parra kia ha,positive
Sir is bhai ka number mil jaye ga kya,positive
Sir hindi me vedio banaeaga pura india Dekh rahahi  please app hindi me banaeaga,negative
Bai G  apna number send karo g,negative
Koi indian sikh bhai btaye ga yeh peraa kia ha jo cow ko khany k liye dety hen,negative
22 G m rajasthan tu h dairy farme karna tu plzzzz young dairy farmer italy vala da Phone No do g,negative
I r an amazing guy best of luck,positive
pls number send kario brother,negative
Plz send me number veer,negative
pa g  number  send  kro,negative
Pera bnany ka shi trika to bta den plz detail sy bta den,negative
He will done well in dairy farming And for innovation I suggest one organic and traditional feeding way to use chaff cutter It can cut grass hay corn stalk and other crop automatically laborsaving and moneysaving For more information you can email us  bruceikunnscom   or bruceikuhotmailcom   Or see our website for more choice   wwwikunnscom,neutral
Y G Attt kr dete,negative
Thank you so much bhai jaan From PunjabPakistan,positive
welcome back to home landplease  share your experiences in mistisis heavy temperaturered water deased in receipt desi,negative
Please send your mobile no,negative
Bhai me Aap se Salah Lena chahata hu please Aap ka address batao,negative
Es veer da phone number kina ji,negative
Hume aap ka soojav Bhaut Bhaut acha LGA sir  aap jo milk k Baad khoorak daalte hai 5ki kya vo Hume b mil Sakti hai pls reply and give the your mobile no And my contact no Is 9034874114 pls reply sir,negative
Ashok sir ji Very nice cow form ji I am police Service,positive
Mujhe bhi Mimi small cow form karni hai Please me call 7992349849by sir ji,negative
number send kro Bai da,negative
End aa bro end Love you teri mehnat nu salaam aa veer,positive
Vadhia aa gaya bahar ton,negative
Nahi a ne bahar beth k pakka punjab ch koi kaand karva dena c,negative
Ajj kall bahar vale punjab ch vadde vadde lokan nu marvaee jande han,negative
Sir gehun ka peda Kahan milta hai hosiyarpur me Kahan milta hai,positive
Gallbaat alaag Bhai ji di,negative
Paa G ap ka number mil gya,negative
Veer  ji  es  farm vale da number chida hai menu vi krna hai aa farm,negative
Ashok g thanks for video,positive
Veer g ke farm ka video banao,negative
My whats app number 00966544060818,negative
Please send your mobile number with your country code,negative
Please send your mobile number complete with country code,negative
pls apna num send kro paji,negative
pls apna num send kro paji,negative
Surinder bha ji pleage appna contect no send karo ji,negative
jankari leni chaude a ji,positive
brother where is the farmplz give me mobile no I want to talk with this guy,negative
bhaji aapne farm de video upload kro,negative
Bhai g kaam ta tusi accha kitalekin ye jarsi gaay na rakhiiske dudh te cancer hunda si,negative
Oye athiyanth aahlaadkar video ha,negative
Sirrra banda bai ji rabb mehar kra,positive
Hello  paji  nambar  sand    comment   karo,positive
very nice i like it,positive
Or sirji apke is farm ka namber do plzz,negative
Sirji panjabi jyada samaj ni ati to kya aap hindi me video bana sakte ho plzzz,negative
Sirra banda veere tu raab tenu tarakiyan bakhshe,negative
Admin please share the address n phone number of this man,negative
otherwise this video will not be that much beneficial,negative
please share the address or phn no,negative
Please send me ur number,negative
Surrinder singh ka id share kary   from Pakistan,positive
show from inside what type facilities or procedure inside the farm keep it up bro,positive
bro farm ander se dekhonet konsa lagaya ha show the net,negative
Is dairy walay banday ka cell no Plz,negative
Ashok ji surinder paji da mobil  nmr de sakte ho,negative
Dil kush kr ta veer salute aa 22 tohanu,positive
pls send me number veer g,negative
Bhai contact no mil sakta  ha kya,negative
Also Please give the contact mobile and address of the Dairy Farmer you visit It could prove a Great help to New Dairy Farmer Like me Regards,positive
Ashok Jhangi Ji please give your Contact My is 9650447949,positive
Vir Pehla ta a das v dud ki rate lagda Tera,negative
surinder singh ji vill mathura khurd apna no deoitly vale brossakaland thanks,positive
Surinder sing ka mo number dijia Sir,positive
Itly wala cow ka interview hindi may bhejo,negative
Bhut videa ji end a jwa well done veere,positive
sir g aap kai farm ka contact number kaya hai ap sai kaisa contact kar saktai hai mujh ko ap sai training chiya sir g,negative
Veere ahh chennel bhot wadia aa bhot wadia infotusi dinde ho pr kyo videos wekh chuka msi jis vich nxt prson bare respect nal nhi dsde jo ahh back screen audio aa ohna chahida respect denfor expoh eh kehnda haioh jeh kehndi haieda nhi bolna chahidabaki bhot wadia infodinde ho,negative
Great Man and good information,positive
apna mobile no dasso please,negative
please give me your cell no,negative
BAI JI APNA NUMBER DEO,negative
plz nuber jaroor send karna ji thanks ji,positive
sat shri akal bhji sanu enaaaaa veerji da nuber mil sakda he ji asi italy to ha ji asi b punjab dairy farm start krna h ji,negative
Nice video sir but yeh baat sahi h agar aap is video ko english ka subtitle add krdete to hume fayda hojtaaap se request hai sir agar aap is video me subtitle add kar de to yeh video humare bahut kam aajayegi  thnk u sir,negative
Sir peda liquid hota hai please batayen,positive
Bahut confedance ha vir ch,negative
Iss fram de Number do plzzzzzzzzzzzzz,negative
sahi gall hai veer Di jma sach hai,negative
sirji ae banda tusi bhot tkda lianda intali wala sari di sari sachia gala krda h jma khra banda h,negative
Ashok ji aap ke es mehnat ko pura world dekhta hhum sab logo ke aap se ye request h ke aap video hindi main banaye ya phir video ke niche hindi translate kijeye Taki sab logo ko aap ke mehnat ko samaj sake  thank u so much,positive
Ah Bai dya phn no kina ha,negative
wah ji wah very nice,positive
Sir send me your number,neutral
New technology in Dairy farming,positive
Apna whtsaap no denge kyaa,negative
Bhaiii hme aapse baat krni hai,negative
silage ka upper video banao jii,negative
Kia baat hy  buht hi wadia,negative
bhai apka sabhi video HiNDi me ave na punjabi me pura india dekhata apka chaneelso plz,negative
40 liter nahi deti hogi fack bat bat hai,negative
SirJee Shed kis material ka hai asbestos Iron or Plastic ka,negative
Plz contact me I need ur help,negative
keeping western breeds is not economical for average indian farmer these breeds are pampered lot and their milk is no healthy focus on desi breeds like sahiwal sir haryana rathe etc,negative
Mein gaurav chaudhary hu bahut badhiya diary farm,negative
sir aapse ek request hai ki Punjab ke jila saheed bhagat Singh me Jo chopra dairy farm hai usski bhi ek baar video banaeye,negative
aapki har video bahot hi achii hoti hai,negative
bahot hi badiya sir ji,positive
sahi shokeen ha sardar sahab,positive
Bahut hi badiya farm house hai bhai ji kaMere ko bhi banane ka spna h,negative
Bhai g aap ka mob no kya,negative
Sir men pakistan sy hon or akser dairy farms ki videos men aik cheaz hoti ha peera peeda yeh kia ha,negative
Bhut hi badiya farm h bhai,positive
Dil khush ho gaya surinder ji,positive
Ye 40 liter dudh wali gai kaha se purchase kar sakte he wo batao vai my no 7988063224,negative
Vai kaha se hf kharid sakte he uspe v video banao vai,negative
sar in pasuo Kya khilate he ek aesa video banaiye ye farm muje bahot pasand He Me apka frind,negative
Sir please buffllow owner se ye puch kar bataye itna milk ke liye kaya aur kaise de  please sir,positive
Bahut hi badiya sir hame bhi inse bachdiya mil sakti hai kaya,negative
Bahot acha bhai mast dil khush hogya,positive
Behat khubsurat farm he bhaisab,negative
Namste bhaisaheb  mera nam vijay hai me maharashtra se hu mene apka vedio dekha Bohot maja aaya vedio dekhakar aur bohot kuch sikhne bhi mila,negative
Meri ek chhoti si recvest hai aapse  jyese ki aapne bataya is vedio me 40 se 50 litar dudh dene vali gaye hai   agar mujhe aise dudharu pashu kharidane hai to maharashtra ke bahar aise konse bajar ya mandiya hai jahase me aise pashu kharid saku aur sabse jarury kya o cow panjab ya kisi our rajya ka temprechar mach kar payegi,negative
Me aasha karta hu meri samasya ka hall mujhe jarur milega,negative
Nice best of luck God bless you veer,positive
Masha Allah Bahut acha setup dekh kar dil khush hogya mujhe 10 Cow chahiye Hfjersey Milk 1216 ltr per day and 1st 2nd lactation ki,negative
Please agar hosake to price and transportation charges up to Bihar jarura bataiyega,positive
bohat zabardast farm hai yaar,negative
3035 litre lactation wali 78 jersy cow purchase karne hai kaha aur kise contact karo,negative
bhai saab 1 hf cow leni hai 1lction wali  milk minimum 40to50 ho kitni price tak mil jayegi  please bhai batna    thank you,positive
kya baat hai sir ki janaab kya farm hai maza aagaya dekh ke very nice video khera farm the best farm jo abhi tak maine dekha hai dil khush hogaya,positive
Make mor video on this farm and details of the cow,negative
Please I want to buy some cow From this farm of good quality,neutral
11 quintal dudh kitni cow se hoti hai aur kitna profit bach jata hai pocket me,negative
Sir  ek cow pe kitni profit hoti hai,negative
bhot hi gajab h bhai,positive
Bhut hi accha this is awesome farm,positive
25 acres silage pit jo  ap ny es clip ma dekhae ha ke measurements kea ha,negative
vir apna no send kardo,negative
Helo bahi muje gie chaide 5 jo 40 se 50 latter milk dite he on ka price kya he plz cal me my num917340892094 j WhatsApp  num he or962787919837 j mera jordan ka num he me india ka he ho karputhla  ka,negative
40 litre dud denewali ek gai ka kimot kitna hoga sir,negative
Or aapke video dekh kr,negative
Bhut accha laga muje bhi janwaro,negative
Se itna hi payar he bhut bhut dhnyvad,negative
Hello myself Anil mukati I have  a milk business Madhya Pradesh dewas I want some knowledge about dairy farming may I get your contract no please share,negative
Dudha badhane ke liye CFC khilaie aur dudha 1se2 litar aur fet 1se15badhaiye jyada jankarike liye coll kijiye 7567282832,negative
ideal farm very nice and well maintained,positive
Bahut badiya video h jii,negative
Sr app suruyat krne ka farmola bta skten hai bcz I want to start dairy farm,negative
brdr plz app price v bta diya kro cow and buffalo ka plz,negative
Sir ji cow feed formula  vi dasdo,negative
Im from Pakistan Punjab bhot vadya fram yar   Cow ka,negative
Thand ke liye kya karti hai aap kya Khule Mein Aate Hain yes ke liye alag camera,negative
Bhai muje murraha nasal ki 10 buffalos chahiye kya aapke pas koi contact hai,negative
sir ye apni 10 se 12  cow 40 liter wali cow sell karenge or unki calf ko bhi,negative
Sab me Rajasthan se hu me deri farm Clara hu or cow selling bhi karta hu cue ki jarurat ho to aap mere se contact kar cow krid sakte ho  har kwaliti ki cow Mo8949108442,negative
tnx dear good idea for baby cow and horse management,positive
Es dairy farm me barish me to pashuwo ko badi paresani hoti hogi,negative
Plz eske bare me muje batana gurur,negative
Very nice farm I have milk in Gurgaon I am working in merchant navy now my planning is start dairy farm in my village very soon,positive
Bai bas kutto ke kame raha gay,negative
Nice cow and nice farm,positive
Bhai sahab jawab nhi h Bhai logo ka dil se salute yr bhut gajab ThAnxxxxx bhai ram ram,negative
Nice farm and good management,positive
Bdiya setup but bhai cost total,negative
Dil khush ho gaya farm dhekar veri nice,neutral
yaar man khush ho gaya,positive
Really apke jesa farm mene kbhi nhi dekha,negative
mast life h Teri Bhai,positive
Bhai itna bada dairy farm chalna ka liya majdur kaha se lata ho,negative
sirvery good videothanks for sharingI m from Rajasthan sir 35 litre vali cow 246 dant ki kya price h punjab me,positive
3040 lt milk ki hf cowsbuffaloes,negative
BAHUT HI ACHA HAI BHAI KA FARM,positive
Good khera deriy farm Panjab,positive
Bhai Jordar video banyan he,negative
Ye koni si jge he,neutral
very nice mujhe bhi shauk hai janwaron ka,positive
Please share you contact number  would like to visit,positive
Bhai ap apana numbers share kariye,positive
kha ka he ye farms  ham  mp ke he jab bi ayege  ham dekhne jarur ayge bahut acha he,negative
12lt  wali buffalo kitne Mein Aa Jayegi,negative
Apna    send  Karna  bhai  Ji,positive
V g effort  nice videooo bhaiii jiii,positive
Barsat ke dino mi kaise rhtay ho aap inhe kitchad ho jata hoga bhaiji,negative
sir ky dairy  farm per job milegi ky please number 8889827987,negative
Punjab mein silage bani hui kaha se milti hai,negative
bhai ap apna number de skte ho,negative
I want to   bye cow from you 9862016614,positive
I am asrar mostofa from Bangladesh  I interested about your product  My question do export cow or buffalo  My email asraramostofagmailcom,negative
kha milte he bhyaji gaye esi,negative
Is farm pe lekar ka kharcha kitna ata hai,negative
Really such a great and very good farm,positive
Sir ji pure farm setp karne me kitna kharcha aajata bheso ve  gayo ka krke,negative
m to wait kar raha tha nai video ka 1 no ki video banai h surender g 1no ka farm h nice video kisi din milte h aspse,negative
Ek dum bhadiya esa bandobust pehle kabhi nahi dekha,negative
Shonk to mast hai or shonk ki koi kimant nahi hati,negative
Bahut hi sandar hai bhai ji,positive
Bahot khoob sir ji thanks for the video and good luck to khera dairy farm,positive
Bde bhai mast farm hai bhai ka top class sabhe pashu ka bhaut khus haishook ho toaisaho varna na ho maza a gya dkh kebhaut bdiya sanaiwal bhai sach m maza a gya,negative
hello sir kya is farm par visit kar sakte hai kya,positive
Bhai sab yha pr pashu ko sall bhi krte h kya,negative
nice dairy farm     kitni  investment  hai  sir k    aur profit  kitna           please share  kare   sir,positive
nice farm  nice management  Sir ji,positive
such me bhai dil khus ho gaya dery farm wale bahut dildar or khusnasib hai jo unko ye cow sewa ka moka mila hai        thanks bahi,negative
Total cow kitne ha Inka pas marketing Kassa karta ha thoda dital ma batana,negative
jitusir  aapka mo na do please  me Rajsthan se hu gujrat border pr  sir muje murrah buffalo leni h 22 24 lit milk vali  mera mo na 9001884138 me bhi deyri farmer hu sir please help,negative
Im very very happy see this farm great g,positive
Ai worker harider 9914041478 per seman rate 100 only call me,negative
Ek no ka farm bhai,negative
Esi hi farm hona chaiye,negative
Please tell me 4050 letter ki cow ka kya price hai,negative
Very very nic broSeera bro,positive
dear sir mare pass 4 hf cow h or unka milk fat bhut kam h kya krna cheya or milk parchaj k dare b dtao  thanks,negative
dear sir mare pass 4 hf cow h or unka milk fat bhut kam h kya krna cheya or milk parchaj k dare b dtao  thanks,negative
top farm a broeh channel wala v sirra bnda sansaniwal farm top,negative
Posowo ka bimar ke liya karte aur bassa  ko kitna din bad krime ka aur dusra medisen khilata hai bai,negative
Bhai Sahabghajab ke video le karr aate ho AAP,negative
Talaab di proper information vi daseo kapurthala  waleya di,negative
bahut shaandaar dairy farm ka video late ho bhai shahab ram ram,negative
Bhai ji sale bhi krte h kya,neutral
maja ago lakin Bhai 40 se45 liter Bali gay kha se milegi  and enka Sam thing  praise kya hoga,negative
Thanks bro I was waiting from now  Once again thanks a lot,positive
dil khush kar dia  mere Bhai ye mera 1 comment he thank you bhai,positive
Dil kush ho gya bhai,positive
Bhai bohot bohot acha farm h,positive
Or sbse achi baat is video m aapke b darshan hue h,negative
Khera farm da Talaab dikhao,negative
Bahut bhadiya hy bhai sad,negative
ram ram jitu bhai mast h,neutral
40 se 50 lyrics ka HF kitne ka hota hain,negative
Sir g prize kya hoga  40  Hf ka or   enka milk ka  prize kya hoga par liter,negative
Bahut hi achha form h congrats,positive
Sir ye cow jo 50ltr doodh deti h inka milk ka rate kya milta hoga  sir,negative
Buht wadia aaa rab mehar kre,negative
Ram ram Bhai mast h,positive
Bhai saab ye jo laxmi dairy farm hai punjab meWha ek baffalo hai raniuska milk record 28920 kg mukhtasar hai and 26 Kg ndlb mein haiUske bull hai dara or sikander Jiske semen hisar cirb me Available haiYe sab real hai ya fake haiPlease tell meAgar aapko is baare me kuch pta ho toh,negative
preet trictor bil kol fodu a  purana ta tol ky vikda akoe kvadea  bhalna pinda,negative
Veer ji mila kitha h hon,negative
Sir 2018 me ye mela Rajasthan me kab or kaha par lagega,negative
Kya bhi ricording karne nahi aati h kya,negative
Thanks brother video dikhaane ke liye,positive
Ye kisan mela kab hota he,negative
preet tractor jmaa hi fuddu  serf jugad bazi and copy chija uta hi bachi ja reha aa,negative
wadia bnai aa videogud job,negative
Brar seed store aana si,negative
Video wala driver ne deek,negative
pehla 855 hun 963 super sab to upper,negative
tractor ta bahut ne par 855 da koi maqwala ne kar sakda 60 hp tak,negative
A ta Kam kar da Holland valla,negative
Driver natak kar riha hai,positive
cycle chlone wala te tractor chla reha agey kewe wade,negative
Fudu driver sala chlona ta aouda ni,negative
O atmo dnda lmba kro eda  kachayi ch koe vi trector ni mukabla kr skda holland da ty pTO ch kubota best a,negative
Hlo y a video fake a kiyoki J a tractor Demi bala hunda ta es da sylincer pipe bala nahi hunda o hunda Jo company to hi aunde ne E video tractor flop karan lai bnai he te demo vala tractor kade v black smoke Kala thuya nahi marda te Tusi tractor serious ho K Dekho tractor Purana ga to Demo,negative
bhaji ehda top link wala gulla galt sell vich paia ha ji,negative
Tractor da tyre ch pani nahi lhali na ta slipp mardda durca tusi testing te pani pa ka lay anda aoo fir kenda holland nahi chalda thada hjaa pacha paya ni asli holland nal,negative
Jisnu lagda k tarctor di lassi ho gai aa ohnu ehhni knowledge aa k tarctor khera fuddu aa ya good oh aap bnna lawe,negative
Naach na jaane te vehra vinga,negative
tractor 2000 chakar te bahut hunda ih vdda driver Sari tan race kri baitha  Baki 2000 chakar te karke Tyra  ch hwa ghat howe jma  Pani nal bhariya hon tuba    phir dekh tere hla da skanja na patya sanu bathinda ale na kahi  tractor kihda dawba jor londa hun wadh hwa nal slip mari janda,negative
chlaune wala hi vekar ae,neutral
Driver pe chlna ne aara,negative
Trctr vdeadrivr e madddaeho ja koi v trctr ni jehda hll ni khichdasbb drivr de sir te hunda,negative
fuddu tractar ajun best aa,negative
drivar to gal ni bandi trector ik no aa,negative
jaan da kini laai jndahor trctr v dekhna c tusi brober jod ktere aale trctr di v paa video,negative
Hahahah modified nhi kita chngi tra,negative
Landu driver ty us to fudu movie maker,negative
